country,pcGDP,life.expectancy,total.population,region,region.number
China,4447.756211,74.88502439,1337705000,East Asia & Pacific,1
India,1419.112674,65.6942439,1205624648,South Asia,6
United States,46615.51086,78.54146341,309326225,North America,5
Indonesia,2946.968514,70.16785366,240676485,East Asia & Pacific,1
Brazil,10978.09355,73.07531707,195210154,Latin America & Caribbean,3
Pakistan,1019.221691,66.12634146,173149306,South Asia,6
Nigeria,1431.601239,51.28941463,159707780,Sub-Saharan Africa,7
Bangladesh,664.0642317,69.48580488,151125475,South Asia,6
Russian Federation,10709.50243,68.80487805,142389000,Europe & Central Asia,2
Japan,43117.76827,82.84268293,127450459,East Asia & Pacific,1
Mexico,8779.137192,76.69029268,117886404,Latin America & Caribbean,3
Philippines,2135.918414,68.23026829,93444322,East Asia & Pacific,1
Ethiopia,341.0772185,61.46795122,87095281,Sub-Saharan Africa,7
Vietnam,1224.246918,75.31173171,86932500,East Asia & Pacific,1
Germany,40163.8174,79.98780488,81776930,Europe & Central Asia,2
"Egypt, Arab Rep.",2803.532963,70.45082927,78075705,Middle East & North Africa,4
"Iran, Islamic Rep.",5674.923927,73.13014634,74462314,Middle East & North Africa,4
Turkey,10135.42091,74.21119512,72137546,Europe & Central Asia,2
Thailand,4802.662758,73.81378049,66402316,East Asia & Pacific,1
France,39186.02244,81.36829268,65031235,Europe & Central Asia,2
United Kingdom,36232.81442,80.40243902,62271177,Europe & Central Asia,2
"Congo, Dem. Rep.",210.7691771,48.98768293,62191161,Sub-Saharan Africa,7
Italy,33760.58975,81.73658537,60483385,Europe & Central Asia,2
South Africa,7266.078871,54.3907561,49991300,Sub-Saharan Africa,7
"Korea, Rep.",20540.17693,80.56585366,49410000,East Asia & Pacific,1
Colombia,6179.770212,73.36768293,46444798,Latin America & Caribbean,3
Spain,29956.15635,81.62682927,46070971,Europe & Central Asia,2
Ukraine,2973.981709,70.27560976,45870700,Europe & Central Asia,2
Tanzania,524.6937886,59.18170732,44973330,Sub-Saharan Africa,7
Kenya,787.8574283,59.54707317,40909194,Sub-Saharan Africa,7
Argentina,9132.958027,75.66356098,40374224,Latin America & Caribbean,3
Poland,12302.02992,76.24634146,38183683,Europe & Central Asia,2
Algeria,4364.961709,70.61660976,37062820,Middle East & North Africa,4
Sudan,1421.091066,61.47829268,35652002,Sub-Saharan Africa,7
Canada,46211.53386,80.8934878,34126547,North America,5
Uganda,505.9876849,57.29653659,33987213,Sub-Saharan Africa,7
