COUNTRY,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,49,-,-,-,-,72,62,42,41,-,-,41,44,43,-
Australia,-,38,-,-,-,-,48,-,-,-,-,30,-,28,34
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-
Bolivia,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-
Brazil,-,-,-,-,-,-,-,-,29,28,30,23,27,23,-
Bulgaria,18,-,-,-,-,40,-,-,-,-,-,-,-,-,-
Burkina Faso,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-
Canada,27,34,-,37,-,42,-,28,-,-,-,30,-,26,30
Chile,-,-,-,-,-,35,-,-,-,-,-,24,19,27,-
China,-,-,-,53,43,57,48,46,37,46,48,53,43,49,44
Colombia,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-
Czech Republic,27,-,-,-,-,50,-,-,-,-,37,33,-,-,-
Egypt,-,-,-,-,69,78,75,70,82,79,79,81,85,-,-
El Salvador,-,-,-,-,-,-,-,-,-,-,-,17,15,-,-
Ethiopia,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-
France,34,57,62,57,60,60,57,25,26,26,31,36,25,27,31
Germany,35,54,59,54,60,66,66,33,35,35,44,40,47,45,38
Ghana,9,-,-,-,-,14,-,-,-,-,-,9,9,6,-
Greece,-,-,-,-,-,-,-,-,-,-,61,57,63,-,58
Guatemala,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32
India,-,-,-,-,-,-,-,-,-,-,-,15,16,8,13
Indonesia,-,-,-,57,67,66,53,30,34,40,-,31,33,26,-
Israel,-,20,-,-,-,20,-,26,-,28,-,16,16,18,-
Italy,23,38,-,-,-,38,-,-,-,-,22,16,18,14,23
Ivory Coast,16,-,-,-,-,11,-,-,-,-,-,-,-,-,-
Japan,26,-,-,-,35,36,48,37,32,14,27,29,30,29,23
Jordan,75,99,93,80,85,78,79,74,79,84,86,85,85,83,-
Kenya,15,-,-,-,-,11,-,3,3,11,-,14,12,10,-
Kuwait,-,32,-,-,-,46,-,-,-,-,-,-,-,-,-
Lebanon,59,71,-,58,-,52,49,45,47,49,49,53,57,60,-
Lithuania,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-
Malaysia,-,-,-,-,-,69,-,-,-,-,-,33,40,41,-
Mali,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-
Mexico,25,-,-,-,-,41,44,27,35,41,34,30,31,29,-
Morocco,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-
Netherlands,-,-,-,54,-,-,-,-,-,-,-,-,-,-,32
Nicaragua,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-
Nigeria,-,-,-,-,-,-,-,-,14,-,-,20,16,12,-
Pakistan,69,-,60,60,56,68,63,68,68,73,80,72,59,62,-
Palestinian ter.,-,98,-,-,-,86,-,82,-,80,-,79,66,70,-
Peru,19,-,-,-,-,31,-,-,-,-,-,-,23,18,-
Philippines,7,-,-,-,-,-,-,-,-,-,-,13,6,7,-
Poland,11,-,-,23,-,31,24,24,19,19,26,24,19,17,16
Russia,33,55,44,40,47,48,48,44,33,34,34,40,71,81,-
Senegal,-,-,-,-,-,-,-,-,-,-,-,5,11,8,-
Slovakia,39,-,-,-,-,54,-,-,-,-,-,-,-,-,-
South Africa,28,-,-,-,-,-,24,-,-,-,-,20,19,16,-
South Korea,44,50,-,-,-,38,28,19,18,-,-,20,17,14,-
Spain,-,55,-,50,73,60,55,28,28,29,32,29,34,27,26
Sweden,-,-,-,-,-,49,-,-,-,-,-,-,-,-,28
Tanzania,26,-,-,-,-,39,21,-,-,-,-,-,14,10,-
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-
Tunisia,-,-,-,-,-,-,-,-,-,-,45,41,47,-,-
Turkey,54,83,63,67,76,83,77,69,74,77,72,70,73,58,-
Uganda,13,-,-,-,-,19,-,-,-,-,-,9,23,15,-
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,25,22,-
United Kingdom,16,26,34,38,33,42,37,20,24,28,31,30,27,24,26
United States,-,-,-,14,17,18,14,9,11,17,14,15,16,15,15
Uzbekistan,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,-,-,-,-,-,-,-,-,-,-,-,37,31,41,-
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,18,13,-
