year,month,day,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015,12,31,35.786,-97.5687,6.479,2.6,ml,,103,,1.02,us,us10004alp,2016-03-18T01:13:09.040Z,"16km NNW of Edmond, Oklahoma",earthquake,1.7,5.4,,,reviewed,tul,tul
2015,12,31,37.1308,-97.6583,6.06,2.7,ml,,89,0.084,0.59,us,us10004al6,2016-03-18T01:13:09.040Z,"11km NNW of Caldwell, Kansas",earthquake,2.8,7.3,0.163,23,reviewed,ismp,ismp
2015,12,31,36.6123,-98.8055,6.285,3.2,ml,,127,,0.55,us,us10004akn,2016-03-18T01:13:09.040Z,"24km SSW of Alva, Oklahoma",earthquake,4.1,7.1,,,reviewed,tul,tul
2015,12,31,35.671,-97.4083,5.969,2.5,ml,,52,,0.6,us,us10004aju,2016-03-18T01:13:09.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.7,5.3,,,reviewed,tul,tul
2015,12,31,36.8328,-97.7676,5.41,3,ml,,51,,0.47,us,us10004ajg,2016-03-18T01:13:09.040Z,"4km NW of Medford, Oklahoma",earthquake,1.6,5.1,,,reviewed,tul,tul
2015,12,31,35.6644,-97.3975,6.18,2.8,ml,,53,,0.45,us,us10004aip,2016-03-18T01:13:09.040Z,"7km E of Edmond, Oklahoma",earthquake,1.6,4.4,,,reviewed,tul,tul
2015,12,30,36.2848,-96.6616,3.902,2.5,ml,,84,,0.58,us,us10004ai8,2016-03-18T01:13:08.040Z,"14km ESE of Pawnee, Oklahoma",earthquake,1.1,6.3,,,reviewed,tul,tul
2015,12,30,35.6648,-97.4018,7.184,3,ml,,63,,0.75,us,us10004afu,2016-03-18T01:13:08.040Z,"7km E of Edmond, Oklahoma",earthquake,2,7,,,reviewed,tul,tul
2015,12,30,35.9428,-97.2997,7.69,3.2,ml,,67,,0.56,us,us10004aeb,2016-03-18T01:13:08.040Z,"4km W of Langston, Oklahoma",earthquake,1.4,7.5,,,reviewed,tul,tul
2015,12,30,35.6656,-97.399,5.994,3.1,ml,,53,,0.74,us,us10004adl,2016-03-18T01:13:08.040Z,"7km ENE of Edmond, Oklahoma",earthquake,2.1,6.2,,,reviewed,tul,tul
2015,12,30,36.5904,-98.3799,5.458,3.3,ml,,80,,0.57,us,us10004ade,2016-03-18T01:13:08.040Z,"10km WNW of Helena, Oklahoma",earthquake,1.7,6.4,,,reviewed,tul,tul
2015,12,30,36.0744,-97.3508,6.075,2.6,ml,,75,,0.49,us,us10004ad9,2016-03-18T01:13:07.040Z,"16km NNW of Langston, Oklahoma",earthquake,1.1,7.5,,,reviewed,tul,tul
2015,12,30,36.729,-98.0094,6.625,3.7,ml,,71,,0.46,us,us10004acq,2016-03-18T01:13:07.040Z,"26km WSW of Medford, Oklahoma",earthquake,1.9,1.5,,,reviewed,tul,tul
2015,12,30,35.6758,-97.3964,5.998,2.6,ml,,66,,0.75,us,us10004aby,2016-03-18T01:13:07.040Z,"7km ENE of Edmond, Oklahoma",earthquake,1.2,4,,,reviewed,tul,tul
2015,12,29,35.6631,-97.3982,6.65,2.8,ml,,53,,0.61,us,us10004abr,2016-03-18T01:13:07.040Z,"7km E of Edmond, Oklahoma",earthquake,1.7,7.2,,,reviewed,tul,tul
2015,12,29,35.9401,-97.2937,5.078,2.6,ml,,66,,0.68,us,us10004abe,2016-03-18T01:13:07.040Z,"3km W of Langston, Oklahoma",earthquake,1.5,7.2,,,reviewed,tul,tul
2015,12,29,35.9424,-97.2991,6.66,3.3,ml,,66,,0.49,us,us10004aba,2016-03-18T01:13:07.040Z,"3km W of Langston, Oklahoma",earthquake,2.9,7.5,,,reviewed,tul,tul
2015,12,29,35.6702,-97.4075,6.254,3.3,ml,,52,,0.52,us,us10004ab5,2016-03-18T01:13:07.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.6,5.7,,,reviewed,tul,tul
2015,12,29,35.6632,-97.3956,6.336,2.7,ml,,53,,0.78,us,us10004aa7,2016-03-18T01:13:07.040Z,"7km E of Edmond, Oklahoma",earthquake,0.7,4.8,,,reviewed,tul,tul
2015,12,29,35.6632,-97.3978,6.286,3,ml,,53,,0.64,us,us10004a9y,2016-03-18T01:13:07.040Z,"7km E of Edmond, Oklahoma",earthquake,2.2,7.3,,,reviewed,tul,tul
2015,12,29,36.5036,-98.8963,15.73,3,mb_lg,,109,0.15,0.41,us,us10004a9x,2016-03-18T01:13:07.040Z,"28km ENE of Mooreland, Oklahoma",earthquake,1.8,3.2,0.132,15,reviewed,us,us
2015,12,29,35.6628,-97.3977,6.433,2.6,ml,,53,,0.66,us,us10004a9p,2016-03-18T01:13:06.040Z,"7km E of Edmond, Oklahoma",earthquake,1.2,2.5,,,reviewed,tul,tul
2015,12,29,35.6636,-97.4002,6.717,3.3,ml,,53,,0.67,us,us10004a9l,2016-03-18T01:13:06.040Z,"7km E of Edmond, Oklahoma",earthquake,1.2,5.3,,,reviewed,tul,tul
2015,12,29,35.9413,-97.3003,5.602,2.7,ml,,67,,0.87,us,us10004a9h,2016-03-18T01:13:06.040Z,"4km W of Langston, Oklahoma",earthquake,1.2,7.2,,,reviewed,tul,tul
2015,12,29,35.6664,-97.4052,6.531,3,ml,,53,,0.59,us,us10004a9c,2016-03-18T01:13:06.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.9,4.9,,,reviewed,tul,tul
2015,12,29,37.2635,-97.635,5.75,2.6,ml,,97,0.032,0.56,us,us10004a9a,2016-03-18T01:13:06.040Z,"14km S of Conway Springs, Kansas",earthquake,2.1,6.3,0.138,22,reviewed,ismp,ismp
2015,12,29,35.7432,-97.3559,6.521,2.7,ml,,56,,1.01,us,us10004a99,2016-03-18T01:13:06.040Z,"14km NE of Edmond, Oklahoma",earthquake,1.3,5.4,,,reviewed,tul,tul
2015,12,29,36.4455,-98.7997,4.985,3.1,ml,,114,,0.96,us,us10004a8j,2016-03-18T01:13:06.040Z,"34km NW of Fairview, Oklahoma",earthquake,3.2,7.7,,,reviewed,tul,tul
2015,12,29,35.6713,-97.413,5.967,3.3,ml,,52,,0.67,us,us10004bkg,2016-03-18T01:13:06.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.3,5,,,reviewed,tul,tul
2015,12,29,35.6694,-97.411,6.128,3.5,ml,,53,,0.73,us,us10004a86,2016-03-18T01:13:06.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.2,5.6,,,reviewed,tul,tul
2015,12,29,35.6703,-97.4081,5.636,2.6,ml,,66,,0.61,us,us20004utx,2016-03-18T01:13:06.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.3,4.6,,,reviewed,tul,tul
2015,12,29,35.6654,-97.4054,6.532,4.3,mwr,,53,,0.78,us,us10004a85,2016-11-02T04:51:52.798Z,"6km ENE of Edmond, Oklahoma",earthquake,3.6,5,0.033,88,reviewed,tul,us
2015,12,29,36.8343,-98.281,4.669,3,ml,,80,,0.43,us,us10004a6u,2016-03-18T01:13:05.040Z,"11km NE of Cherokee, Oklahoma",earthquake,2.5,7.3,,,reviewed,tul,tul
2015,12,28,36.526,-98.9979,8.407,2.7,ml,,186,,0.65,us,us10004a46,2016-03-18T01:13:05.040Z,"20km ENE of Mooreland, Oklahoma",earthquake,3.3,6.5,,,reviewed,tul,tul
2015,12,28,36.2902,-97.1243,4.167,3.2,ml,,47,,0.48,us,us10004a3x,2016-03-18T01:13:05.040Z,"14km E of Perry, Oklahoma",earthquake,1.6,7.5,,,reviewed,tul,tul
2015,12,28,36.2629,-97.3543,7.669,3.4,ml,,58,,0.29,us,us10004a3t,2016-03-18T01:13:05.040Z,"6km WSW of Perry, Oklahoma",earthquake,2.3,7.7,,,reviewed,tul,tul
2015,12,28,35.6655,-97.4069,6.624,2.7,ml,,42,,0.66,us,us10004a2t,2016-03-18T01:13:04.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.2,3.2,,,reviewed,tul,tul
2015,12,28,36.6504,-97.6692,6.33,2.6,ml,,79,,0.67,us,us10004a2s,2016-03-18T01:13:04.040Z,"18km SSE of Medford, Oklahoma",earthquake,1.6,5.9,,,reviewed,tul,tul
2015,12,28,36.458,-98.7686,7.239,3,ml,,114,,0.61,us,us10004bk5,2016-03-18T01:13:04.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.5,5.1,,,reviewed,tul,tul
2015,12,28,35.6693,-97.4048,5,3.7,ml,,52,,0.77,us,us10004a10,2016-03-18T01:13:04.040Z,"6km ENE of Edmond, Oklahoma",earthquake,4.5,7,,,reviewed,tul,tul
2015,12,28,36.6917,-98.2458,5.809,2.6,ml,,83,,0.92,us,us10004a0l,2016-03-18T01:13:04.040Z,"12km SE of Cherokee, Oklahoma",earthquake,1.2,7.1,,,reviewed,tul,tul
2015,12,28,35.586,-97.3737,6.08,3.4,ml,,56,,0.46,us,us10004a0g,2016-03-18T01:13:04.040Z,"7km N of Spencer, Oklahoma",earthquake,3,5.5,,,reviewed,tul,tul
2015,12,27,36.4239,-97.3346,6.432,2.6,ml,,43,,0.33,us,us100049zt,2016-03-18T01:13:04.040Z,"15km NNW of Perry, Oklahoma",earthquake,1.3,1.7,,,reviewed,tul,tul
2015,12,27,36.834,-97.7922,5,3.5,ml,,50,,0.42,us,us100049xj,2016-03-18T01:13:03.040Z,"6km WNW of Medford, Oklahoma",earthquake,3,6.8,,,reviewed,tul,tul
2015,12,27,36.3686,-97.0627,3.425,2.6,ml,,56,,0.52,us,us100049th,2016-03-18T01:13:03.040Z,"22km ENE of Perry, Oklahoma",earthquake,1.2,7.6,,,reviewed,tul,tul
2015,12,27,35.94,-96.7939,4.575,2.8,ml,,46,,0.48,us,us100049sd,2016-03-18T01:13:02.040Z,"5km SSW of Cushing, Oklahoma",earthquake,1.5,4.9,,,reviewed,tul,tul
2015,12,26,35.5891,-97.3829,6.099,3.2,ml,,38,,0.44,us,us100049qs,2016-03-18T01:13:02.040Z,"7km N of Spencer, Oklahoma",earthquake,1.7,4.5,,,reviewed,tul,tul
2015,12,26,35.5894,-97.3805,6.07,3,ml,,38,,0.61,us,us100049qr,2016-03-18T01:13:02.040Z,"7km N of Spencer, Oklahoma",earthquake,3,6.1,,,reviewed,tul,tul
2015,12,26,35.3762,-101.2043,4.99,2.7,mb_lg,,66,1.907,0.66,us,us100049qd,2016-03-18T01:13:02.040Z,"16km ENE of Panhandle, Texas",earthquake,6.1,3.3,0.088,34,reviewed,us,us
2015,12,26,36.0603,-97.5525,5.868,3,ml,,68,,0.68,us,us100049l6,2016-03-18T01:13:01.040Z,"12km NNE of Crescent, Oklahoma",earthquake,0.9,7.4,,,reviewed,tul,tul
