API Number,Operator,Month,Day,Year,Well_Name,Field_Name,County,Shale_Formation/Member,Depth,Depth_Range_(feet),Second_Depth_Interval_(feet),Third_Depth_Interval_(feet),Initial_Potential_(MCFD),Water_(BWPD),ISIP,SITP/SICP,FTP/FCP,IP OIL/COND,API gravity,GOR,Comments,Lateral Length (ft),PI Newsletter Date,Latitude,Longitude
35-019-24301,PSEC Inc.,2,25,1995,1-12 Pletcher,Springer,Carter,Woodford,6515,6515-6520,6535-6540,6560-6565,1215,0,,,610,,,,"Woodford 6,230-6,576 ft; liner 6,350-6,827 ft; operated by Chesapeake, as of July 2007 has produced 1.23 BCF gas and 6,000 BBLS condensate",,,34.30722,-97.155533
35-069-20073,Western Oil & Gas Development,1,1,1996,2 Chapman,Ravia W,Johnston,Sycamore; Woodford,1119,1119-1196,1386-1420,,500,,,,,,,,"Temporarily abandoned; recompleted by Chesapeake Operating on 3/2/2009 to Sycamore 1,119-1,196 ft and Woodford 1,386-1,420 ft",,3/30/2012,34.242358,-96.820603
35-137-25415,Williford Petroleum,2,10,1998,2 Quinn,Sho-Vel-Tum,Stephens,Caney,2668,2668-2670,2680-2689,,149,0,1025,,25,,,,"Caney 2,590-2,800 ft",,,34.4438,-97.69182
35-085-21005,Chaparral Energy,8,25,1999,1-25 B&W,Enville W,Love,Caney,3612,3612-3656,,,500,5,,1600,290,,,,OWWO; recompleted to Sycamore,,,34.000854,-97.044647
35-085-21015,Mack Energy,9,13,2000,1-31 Hickory Sticks,Enville W,Love,Caney; Sycamore,3490,3490-3504,3730-3772,4834-4914,296,72,260,,62,,,,"Initial Potential 24 BOPD; Caney 3,460-4,693 ft; Sycamore 4,693-5,163 ft",,,33.99546,-97.03161
35-091-21231,K.G. Landrum,11,6,2001,1 Burdine,Stidham SE,McIntosh,Caney,3122,3122-3132,3172-3182,,64,0,2600,,60,,,,"Caney 3,000-3,220 ft",,,35.35848,-95.68477
35-085-20979,Star Resources,12,6,2001,3-8 Terri Twin,Overbrook S,Love,Caney,4471,4471-4472,4476-4478,4483-4490,180,6,1800,,400,,,,"OWWO; additional perforation 4,492-4,498 ft",,,34.054726,-97.120042
35-091-21099,Dave Holke Consulting,8,7,2002,1-22 Layman,Stidham S,McIntosh,Caney,3838,3838-3846,3856-3874,3876-3884,58,0,1480,,70,,,,"OWWO; additional perforations 3,892-3,896 ft, 3,910-3,928 ft",,,35.323638,-95.714139
35-091-21331,Alda Oil & Gas Corporation,10,9,2002,1-8 Pete,Vernon NW,McIntosh,Caney,3872,3872-3880,3894-3900,3942-3958,62,1,1320,,50,,,,"Additional perforation 3,972-3,988 ft",,,35.27202,-95.95347
35-095-00915,Finley Resources,1,25,2003,1 R.D. Jones,Aylesworth,Marshall,Sycamore; Woodford,1688,1688-1760,1820-1865,,275,28,,,,4,34,68750,"OWWO; IPP OIL 4 BPD; OIL GTY 34 API; GOR 68,750; commingled",,7/13/2007,34.048133,-96.657815
